track_id,track_name,artist_name,duration,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,key,mode,popularity,streams,position,P,S,combined,sum_val
05mAIVLkIWc2d1UBYZBCp8,1999,Charli XCX,0.3035840000641827,0.0227,0.7390000000000001,0.742,1.39e-06,0.22899999999999998,0.805076765609007,0.0329,0.4612146878066415,0.659,7.0,1.0,65.0,23927.0,156.0,3,4,34,7.0
05mDaV9Vb3wrzjF6OPZnhq,Saint-Tropez,Post Malone,0.2270983218239109,0.0545,0.617,0.684,0.0,0.10400000000000001,0.8447082906857727,0.0439,0.5134857718328771,0.295,0.0,1.0,78.0,36108.0,109.0,2,2,22,4.0
06ANmvjPpUeh8QQAAAcThx,Isa Pang Araw,Sarah Geronimo,0.3673915964835923,0.27699999999999997,0.515,0.715,0.0,0.0725,0.8274309109518935,0.046,0.5758405205804888,0.41600000000000004,4.0,0.0,0.0,32591.0,89.0,2,2,22,4.0
06Pvy98db25O7wlfFFFIRM,Bon Bon Chocolat,EVERGLOW,0.3831745146687473,0.0343,0.7190000000000001,0.828,0.0,0.0747,0.7652405322415556,0.0613,0.5639299178846253,0.634,6.0,1.0,69.0,20447.0,199.0,4,4,44,8.0
06Vthiq8nNDuT5nOcch535,Sincerity Is Scary,The 1975,0.3777049482828129,0.0495,0.664,0.524,8.18e-06,0.075,0.7808393039918116,0.0283,0.24825052936011974,0.475,2.0,1.0,0.0,22314.0,177.0,4,4,44,8.0
06cUybZMETs4i3yQO1f7p3,Weak,Khel Pangilinan,0.34811072311799385,0.179,0.71,0.373,0.0,0.156,0.5584032753326509,0.0618,0.4808913907968805,0.141,5.0,0.0,66.0,35456.0,110.0,2,2,22,4.0
073ILU1C3APNRGF66VhtyA,Liar,Camila Cabello,0.33976296539952705,0.0169,0.74,0.498,0.00282,0.319,0.7191811668372567,0.0456,0.2933687961576202,0.652,11.0,0.0,72.0,35729.5,124.5,2,2,22,4.0
07JZJ9YJRaiUAz9Bv8wgwH,Mabagal,Daniel Padilla,0.379253355048468,0.508,0.35600000000000004,0.33899999999999997,3.28e-06,0.355,0.5468577277379733,0.0369,0.14462505810050086,0.287,5.0,0.0,52.0,76488.0,48.0,1,1,11,2.0
07KegcFokV4bBD1GvO1j6L,Respect,BTS,0.4009410783088671,0.00485,0.6609999999999999,0.84,0.0,0.287,0.7961105424769702,0.11599999999999999,0.2510264421835458,0.524,0.0,1.0,0.0,61306.0,71.0,1,1,11,2.0
07Oz5StQ7GRoygNLaXs2pd,Good as Hell (feat. Ariana Grande) - Remix,Lizzo,0.24343481548486995,0.298,0.6679999999999999,0.892,0.0,0.735,0.8699692937563969,0.0645,0.27988302432474305,0.478,5.0,0.0,78.0,33839.5,129.5,3,2,32,5.0
07ipXN6CNTw34qwSYePKpg,Summer on You,PRETTYMUCH,0.3372618472171801,0.636,0.8109999999999999,0.447,0.0,0.462,0.7246673490276355,0.0414,0.30614445075659763,0.6940000000000001,4.0,1.0,71.0,22825.0,192.0,4,4,44,8.0
07s9NNOT0sZQp7TyolLLgu,Own It (feat. Ed Sheeran & Burna Boy),Stormzy,0.3591541527186373,0.00838,0.8170000000000001,0.7809999999999999,5.21e-06,0.12300000000000001,0.8217809621289661,0.11199999999999999,0.3319991736817642,0.359,7.0,0.0,5.0,26715.0,189.0,4,3,43,7.0
0815caqt2Lytro5EIzMufT,You And Me,Lifehouse,0.3166070637032996,0.114,0.45899999999999996,0.4270000000000001,0.0,0.168,0.6761924257932446,0.0267,0.5637685276041937,0.354,7.0,1.0,76.0,27555.0,153.0,3,3,33,6.0
083Qf6hn6sFL6xiOHlZUyn,I'll Be There,Jess Glynne,0.3134581017576022,0.0228,0.623,0.851,0.0,0.12,0.86546571136131,0.0409,0.306583432319372,0.4,7.0,1.0,70.0,28996.5,106.5,2,3,23,5.0
08bNPGLD8AhKpnnERrAc6G,FRIENDS,Marshmello,0.3309017463701695,0.205,0.626,0.88,0.0,0.128,0.8952302968270214,0.0504,0.274408666012498,0.534,9.0,0.0,81.0,50597.5,55.5,1,1,11,2.0
08fa9LFcFBTcilB3iq2e2A,epiphany,Taylor Swift,0.5056571001069042,0.731,0.354,0.267,0.00040199999999999996,0.0858,0.432343909928352,0.0281,0.2688568403656458,0.113,1.0,1.0,78.0,48269.0,75.5,1,1,11,2.0
08sQknOKXt3Thw6kw3pUu1,Walang Tayo,Ex Battalion,0.3692167909871495,0.28,0.8370000000000001,0.5820000000000001,0.0,0.0803,0.7242169907881268,0.0377,0.4998127872746992,0.669,1.0,1.0,0.0,20585.5,190.5,4,4,44,8.0
09IStsImFySgyp0pIQdqAc,The Middle,Zedd,0.29502363727167524,0.171,0.753,0.657,0.0,0.11199999999999999,0.8675127942681677,0.0449,0.35143056344574697,0.4370000000000001,7.0,1.0,83.0,41660.0,81.0,2,1,21,3.0
